Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Libya,Africa,12/1/2010,2.20%,0.294,0.66,0.046,6.0M,77.60%
Botswana,Africa,12/1/2010,2.40%,0.343,0.623,0.035,2.0M,56.20%
Egypt,Africa,12/1/2010,2.40%,0.315,0.63,0.055,78.1M,43.00%
Algeria,Africa,12/1/2010,2.50%,0.271,0.681,0.047,37.1M,67.50%
Namibia,Africa,12/1/2010,2.70%,0.377,0.589,0.034,2.2M,41.60%
Lesotho,Africa,12/1/2010,2.80%,0.376,0.581,0.043,2.0M,24.80%
Djibouti,Africa,12/1/2010,2.80%,0.341,0.622,0.037,0.8M,77.00%
Swaziland,Africa,12/1/2010,3.10%,0.388,0.578,0.033,1.2M,21.50%
Zimbabwe,Africa,12/1/2010,3.20%,0.412,0.548,0.04,13.1M,33.20%
Ghana,Africa,12/1/2010,3.20%,0.39,0.575,0.035,24.3M,50.70%
Gabon,Africa,12/1/2010,3.30%,0.386,0.56,0.053,1.6M,85.70%
Central African Republic,Africa,12/1/2010,3.50%,0.406,0.555,0.039,4.3M,38.80%
Ethiopia,Africa,12/1/2010,3.50%,0.444,0.523,0.033,87.1M,17.30%
Mauritania,Africa,12/1/2010,3.50%,0.406,0.563,0.031,3.6M,56.70%
Sudan,Africa,12/1/2010,3.50%,0.421,0.548,0.031,35.7M,33.10%
Madagascar,Africa,12/1/2010,3.50%,0.434,0.537,0.028,21.1M,31.90%
Sao Tome and Principe,Africa,12/1/2010,3.60%,0.416,0.548,0.036,0.2M,61.90%
Cote d'Ivoire,Africa,12/1/2010,3.70%,0.418,0.551,0.031,19.0M,50.60%
Equatorial Guinea,Africa,12/1/2010,3.70%,0.393,0.578,0.029,0.7M,39.20%
South Sudan,Africa,12/1/2010,3.70%,0.428,0.538,0.034,9.9M,17.90%
Togo,Africa,12/1/2010,3.70%,0.421,0.552,0.027,6.3M,37.50%
Kenya,Africa,12/1/2010,3.70%,0.426,0.548,0.026,40.9M,23.60%
Liberia,Africa,12/1/2010,3.70%,0.433,0.536,0.031,4.0M,47.80%
Comoros,Africa,12/1/2010,3.70%,0.422,0.549,0.029,0.7M,27.90%
Rwanda,Africa,12/1/2010,3.70%,0.447,0.53,0.023,10.8M,24.00%
Sierra Leone,Africa,12/1/2010,3.80%,0.422,0.553,0.026,5.8M,38.20%
Guinea,Africa,12/1/2010,3.80%,0.428,0.54,0.032,10.9M,34.90%
Benin,Africa,12/1/2010,3.80%,0.434,0.537,0.029,9.5M,41.90%
Eritrea,Africa,12/1/2010,3.80%,0.43,0.549,0.021,5.7M,20.60%
Guinea-Bissau,Africa,12/1/2010,3.90%,0.419,0.551,0.03,1.6M,45.20%
Cameroon,Africa,12/1/2010,3.90%,0.434,0.533,0.032,20.6M,51.50%
Congo (Brazzaville),Africa,12/1/2010,3.90%,0.422,0.544,0.034,4.1M,63.20%
Senegal,Africa,12/1/2010,3.90%,0.436,0.533,0.031,13.0M,42.20%
Mozambique,Africa,12/1/2010,4.10%,0.453,0.514,0.032,24.0M,31.00%
Malawi,Africa,12/1/2010,4.10%,0.458,0.511,0.031,15.0M,15.50%
Tanzania,Africa,12/1/2010,4.10%,0.448,0.52,0.031,45.0M,28.10%
Nigeria,Africa,12/1/2010,4.20%,0.44,0.532,0.027,159.7M,43.50%
Zambia,Africa,12/1/2010,4.30%,0.469,0.504,0.027,13.2M,38.70%
Burkina Faso,Africa,12/1/2010,4.30%,0.46,0.515,0.025,15.5M,25.70%
"Gambia, The",Africa,12/1/2010,4.30%,0.46,0.515,0.025,1.7M,56.30%
Congo (Kinshasa),Africa,12/1/2010,4.40%,0.455,0.517,0.028,62.2M,39.90%
Burundi,Africa,12/1/2010,4.50%,0.439,0.535,0.025,9.2M,10.60%
Somalia,Africa,12/1/2010,4.50%,0.477,0.495,0.028,9.6M,37.30%
Uganda,Africa,12/1/2010,4.50%,0.489,0.487,0.024,34.0M,14.50%
Angola,Africa,12/1/2010,4.60%,0.478,0.498,0.024,19.5M,40.10%
Chad,Africa,12/1/2010,4.70%,0.488,0.487,0.025,11.7M,22.00%
Mali,Africa,12/1/2010,4.80%,0.468,0.503,0.029,14.0M,36.00%
Niger,Africa,12/1/2010,5.00%,0.498,0.476,0.026,15.9M,17.60%
Mauritius,Africa,12/1/2011,1.10%,0.206,0.713,0.08,1.3M,40.40%
Seychelles,Africa,12/1/2011,1.90%,0.222,0.702,0.076,0.1M,52.60%
Tunisia,Africa,12/1/2011,1.90%,0.233,0.697,0.07,10.7M,66.10%
South Africa,Africa,12/1/2011,2.10%,0.296,0.651,0.053,51.6M,62.70%
Morocco,Africa,12/1/2011,2.20%,0.279,0.671,0.05,32.1M,58.20%
Libya,Africa,12/1/2011,2.20%,0.294,0.659,0.046,6.1M,77.80%
Botswana,Africa,12/1/2011,2.40%,0.34,0.625,0.035,2.0M,56.50%
Egypt,Africa,12/1/2011,2.40%,0.314,0.631,0.056,79.4M,43.00%
Algeria,Africa,12/1/2011,2.50%,0.272,0.681,0.047,37.8M,68.20%
Namibia,Africa,12/1/2011,2.70%,0.371,0.594,0.035,2.2M,42.60%
Lesotho,Africa,12/1/2011,2.80%,0.372,0.586,0.042,2.0M,25.30%
Djibouti,Africa,12/1/2011,2.80%,0.339,0.623,0.038,0.8M,77.10%
Swaziland,Africa,12/1/2011,3.10%,0.384,0.582,0.034,1.2M,21.40%
Zimbabwe,Africa,12/1/2011,3.20%,0.408,0.552,0.04,13.4M,33.00%
Ghana,Africa,12/1/2011,3.20%,0.388,0.577,0.035,24.8M,51.40%
Gabon,Africa,12/1/2011,3.20%,0.385,0.562,0.053,1.6M,86.00%
Sudan,Africa,12/1/2011,3.40%,0.418,0.551,0.032,36.4M,33.20%
Ethiopia,Africa,12/1/2011,3.40%,0.439,0.528,0.033,89.4M,17.70%
Central African Republic,Africa,12/1/2011,3.50%,0.404,0.558,0.039,4.4M,39.00%
Mauritania,Africa,12/1/2011,3.50%,0.404,0.565,0.031,3.7M,57.30%
Madagascar,Africa,12/1/2011,3.50%,0.431,0.541,0.028,21.7M,32.60%
Equatorial Guinea,Africa,12/1/2011,3.60%,0.391,0.58,0.029,0.7M,39.30%
Comoros,Africa,12/1/2011,3.60%,0.422,0.549,0.029,0.7M,28.00%
Kenya,Africa,12/1/2011,3.60%,0.425,0.549,0.026,42.0M,24.00%
Rwanda,Africa,12/1/2011,3.60%,0.442,0.535,0.023,11.1M,24.90%
Sao Tome and Principe,Africa,12/1/2011,3.60%,0.416,0.549,0.035,0.2M,62.60%
Cote d'Ivoire,Africa,12/1/2011,3.70%,0.417,0.552,0.031,19.4M,51.30%
South Sudan,Africa,12/1/2011,3.70%,0.426,0.54,0.034,10.4M,18.00%
Togo,Africa,12/1/2011,3.70%,0.42,0.553,0.027,6.5M,38.00%
Benin,Africa,12/1/2011,3.70%,0.432,0.539,0.029,9.8M,42.30%
Liberia,Africa,12/1/2011,3.70%,0.432,0.537,0.031,4.1M,48.20%
Sierra Leone,Africa,12/1/2011,3.80%,0.42,0.554,0.026,5.9M,38.60%
Guinea-Bissau,Africa,12/1/2011,3.80%,0.417,0.553,0.029,1.6M,46.10%
Cameroon,Africa,12/1/2011,3.80%,0.432,0.535,0.032,21.2M,52.10%
Guinea,Africa,12/1/2011,3.80%,0.427,0.542,0.031,11.2M,35.30%
Congo (Brazzaville),Africa,12/1/2011,3.80%,0.423,0.543,0.034,4.2M,63.70%
Eritrea,Africa,12/1/2011,3.80%,0.431,0.548,0.022,5.9M,21.00%
Senegal,Africa,12/1/2011,3.80%,0.436,0.534,0.031,13.3M,42.50%
Mozambique,Africa,12/1/2011,4.00%,0.454,0.514,0.032,24.6M,31.20%
Malawi,Africa,12/1/2011,4.00%,0.456,0.512,0.031,15.5M,15.70%
Tanzania,Africa,12/1/2011,4.00%,0.449,0.52,0.031,46.4M,28.80%
Nigeria,Africa,12/1/2011,4.20%,0.441,0.531,0.027,164.2M,44.40%
Burkina Faso,Africa,12/1/2011,4.20%,0.458,0.517,0.025,16.0M,26.50%
Zambia,Africa,12/1/2011,4.30%,0.468,0.505,0.026,13.6M,39.20%
"Gambia, The",Africa,12/1/2011,4.30%,0.459,0.516,0.025,1.7M,57.00%
Congo (Kinshasa),Africa,12/1/2011,4.40%,0.453,0.519,0.028,63.9M,40.40%
Uganda,Africa,12/1/2011,4.40%,0.487,0.489,0.024,35.1M,14.80%
Burundi,Africa,12/1/2011,4.50%,0.44,0.535,0.025,9.5M,10.90%
Somalia,Africa,12/1/2011,4.50%,0.475,0.496,0.028,9.9M,37.70%
Angola,Africa,12/1/2011,4.60%,0.477,0.499,0.024,20.2M,40.90%
Chad,Africa,12/1/2011,4.70%,0.487,0.488,0.025,12.1M,22.00%
Mali,Africa,12/1/2011,4.80%,0.47,0.502,0.029,14.4M,36.80%
Niger,Africa,12/1/2011,5.00%,0.499,0.475,0.026,16.5M,17.80%
Mauritius,Africa,12/1/2012,1.10%,0.202,0.715,0.084,1.3M,40.20%
Seychelles,Africa,12/1/2012,1.90%,0.221,0.702,0.077,0.1M,52.90%
Tunisia,Africa,12/1/2012,1.90%,0.232,0.697,0.071,10.8M,66.30%
South Africa,Africa,12/1/2012,2.10%,0.295,0.65,0.054,52.3M,63.30%
Libya,Africa,12/1/2012,2.10%,0.295,0.658,0.047,6.2M,78.00%
Morocco,Africa,12/1/2012,2.30%,0.278,0.672,0.05,32.5M,58.70%
Botswana,Africa,12/1/2012,2.40%,0.338,0.627,0.036,2.0M,56.70%
Egypt,Africa,12/1/2012,2.40%,0.312,0.631,0.056,80.7M,43.00%
Algeria,Africa,12/1/2012,2.50%,0.274,0.679,0.047,38.5M,68.90%
Namibia,Africa,12/1/2012,2.60%,0.366,0.599,0.035,2.3M,43.70%
Lesotho,Africa,12/1/2012,2.80%,0.368,0.591,0.042,2.1M,25.80%
Djibouti,Africa,12/1/2012,2.80%,0.337,0.624,0.039,0.9M,77.10%
Swaziland,Africa,12/1/2012,3.00%,0.38,0.585,0.034,1.2M,21.40%
Ghana,Africa,12/1/2012,3.10%,0.386,0.579,0.035,25.4M,52.10%
Zimbabwe,Africa,12/1/2012,3.20%,0.402,0.558,0.039,13.7M,32.80%
Gabon,Africa,12/1/2012,3.20%,0.385,0.563,0.052,1.6M,86.40%
Central African Republic,Africa,12/1/2012,3.40%,0.401,0.561,0.039,4.5M,39.30%
Mauritania,Africa,12/1/2012,3.40%,0.402,0.566,0.032,3.8M,58.00%
Sudan,Africa,12/1/2012,3.40%,0.415,0.553,0.032,37.2M,33.30%
Ethiopia,Africa,12/1/2012,3.40%,0.433,0.533,0.034,91.7M,18.20%
Madagascar,Africa,12/1/2012,3.50%,0.427,0.545,0.028,22.3M,33.20%
Sao Tome and Principe,Africa,12/1/2012,3.50%,0.416,0.55,0.034,0.2M,63.30%
Equatorial Guinea,Africa,12/1/2012,3.60%,0.39,0.582,0.028,0.7M,39.50%
Liberia,Africa,12/1/2012,3.60%,0.431,0.539,0.03,4.2M,48.50%
Comoros,Africa,12/1/2012,3.60%,0.422,0.55,0.029,0.7M,28.00%
Kenya,Africa,12/1/2012,3.60%,0.424,0.55,0.026,43.2M,24.40%
Rwanda,Africa,12/1/2012,3.60%,0.436,0.541,0.023,11.5M,25.90%
Sierra Leone,Africa,12/1/2012,3.70%,0.417,0.556,0.026,6.0M,38.90%
Cote d'Ivoire,Africa,12/1/2012,3.70%,0.415,0.554,0.031,19.8M,52.00%
South Sudan,Africa,12/1/2012,3.70%,0.423,0.543,0.035,10.8M,18.20%
Guinea,Africa,12/1/2012,3.70%,0.425,0.544,0.031,11.5M,35.70%
Togo,Africa,12/1/2012,3.70%,0.419,0.554,0.027,6.6M,38.50%
Benin,Africa,12/1/2012,3.70%,0.43,0.542,0.029,10.1M,42.70%
Eritrea,Africa,12/1/2012,3.70%,0.431,0.547,0.022,6.1M,21.40%
Guinea-Bissau,Africa,12/1/2012,3.80%,0.416,0.555,0.029,1.7M,46.90%
Cameroon,Africa,12/1/2012,3.80%,0.431,0.537,0.032,21.7M,52.70%
Congo (Brazzaville),Africa,12/1/2012,3.80%,0.424,0.542,0.034,4.3M,64.10%
Senegal,Africa,12/1/2012,3.80%,0.435,0.534,0.03,13.7M,42.80%
Mozambique,Africa,12/1/2012,3.90%,0.454,0.514,0.033,25.2M,31.40%
Malawi,Africa,12/1/2012,4.00%,0.454,0.514,0.031,15.9M,15.80%
Tanzania,Africa,12/1/2012,4.00%,0.449,0.52,0.032,47.8M,29.50%
Burkina Faso,Africa,12/1/2012,4.10%,0.457,0.519,0.024,16.5M,27.30%
Nigeria,Africa,12/1/2012,4.20%,0.442,0.531,0.027,168.8M,45.20%
Congo (Kinshasa),Africa,12/1/2012,4.30%,0.451,0.52,0.028,65.7M,41.00%
Zambia,Africa,12/1/2012,4.30%,0.467,0.506,0.026,14.1M,39.60%
"Gambia, The",Africa,12/1/2012,4.30%,0.459,0.517,0.024,1.8M,57.70%
Somalia,Africa,12/1/2012,4.40%,0.473,0.498,0.028,10.2M,38.20%
Uganda,Africa,12/1/2012,4.40%,0.485,0.49,0.024,36.3M,15.10%
Angola,Africa,12/1/2012,4.50%,0.476,0.5,0.024,20.8M,41.70%
Burundi,Africa,12/1/2012,4.50%,0.442,0.534,0.024,9.8M,11.20%
Chad,Africa,12/1/2012,4.60%,0.485,0.49,0.024,12.4M,22.10%
Mali,Africa,12/1/2012,4.70%,0.471,0.5,0.028,14.9M,37.60%
Niger,Africa,12/1/2012,5.00%,0.5,0.474,0.026,17.2M,18.00%
Macao SAR,Asia,12/1/2005,0.80%,0.173,0.754,0.073,0.5M,100.00%
Hong Kong SAR,Asia,12/1/2005,0.80%,0.142,0.736,0.121,6.8M,100.00%
Japan,Asia,12/1/2005,0.80%,0.138,0.663,0.198,127.8M,86.00%
South Korea,Asia,12/1/2005,0.90%,0.191,0.716,0.093,48.1M,81.30%
Singapore,Asia,12/1/2005,1.00%,0.191,0.726,0.082,4.3M,100.00%
China,Asia,12/1/2005,1.20%,0.205,0.718,0.077,"1,303.7M",42.50%
Thailand,Asia,12/1/2005,1.30%,0.223,0.7,0.077,65.6M,37.50%
Georgia,Asia,12/1/2005,1.30%,0.184,0.67,0.146,4.4M,52.50%
Armenia,Asia,12/1/2005,1.40%,0.219,0.665,0.116,3.0M,64.20%
North Korea,Asia,12/1/2005,1.60%,0.247,0.678,0.074,23.8M,59.80%
Azerbaijan,Asia,12/1/2005,1.70%,0.26,0.676,0.064,8.4M,52.40%
Vietnam,Asia,12/1/2005,1.70%,0.271,0.663,0.066,82.4M,27.30%
Kazakhstan,Asia,12/1/2005,1.80%,0.247,0.677,0.076,15.1M,54.70%
Myanmar,Asia,12/1/2005,1.90%,0.281,0.67,0.049,50.2M,28.90%
Sri Lanka,Asia,12/1/2005,1.90%,0.254,0.675,0.07,19.6M,18.40%
Malaysia,Asia,12/1/2005,1.90%,0.302,0.654,0.044,25.8M,66.60%
Mongolia,Asia,12/1/2005,2.00%,0.289,0.673,0.037,2.5M,62.50%
Uzbekistan,Asia,12/1/2005,2.00%,0.332,0.62,0.047,26.2M,36.70%
Brunei,Asia,12/1/2005,2.00%,0.289,0.679,0.032,0.4M,73.50%
Kyrgyzstan,Asia,12/1/2005,2.10%,0.313,0.631,0.056,5.2M,35.30%
Indonesia,Asia,12/1/2005,2.10%,0.3,0.651,0.049,224.5M,45.90%
Maldives,Asia,12/1/2005,2.10%,0.343,0.611,0.046,0.3M,33.80%
Turkmenistan,Asia,12/1/2005,2.30%,0.327,0.627,0.046,4.7M,47.00%
India,Asia,12/1/2005,2.30%,0.322,0.631,0.047,"1,127.1M",29.20%
Bhutan,Asia,12/1/2005,2.30%,0.34,0.619,0.041,0.7M,31.00%
Bangladesh,Asia,12/1/2005,2.30%,0.343,0.614,0.043,143.1M,26.80%
Cambodia,Asia,12/1/2005,2.60%,0.361,0.595,0.044,13.4M,19.20%
Philippines,Asia,12/1/2005,2.70%,0.371,0.595,0.034,85.8M,46.60%
Laos,Asia,12/1/2005,2.80%,0.404,0.559,0.037,5.8M,27.40%
Pakistan,Asia,12/1/2005,2.80%,0.382,0.577,0.041,158.0M,34.70%
Nepal,Asia,12/1/2005,2.80%,0.395,0.561,0.044,25.3M,15.20%
Tajikistan,Asia,12/1/2005,3.00%,0.384,0.579,0.037,6.8M,26.40%
Timor-Leste,Asia,12/1/2005,3.80%,0.48,0.493,0.027,1.0M,26.30%
Afghanistan,Asia,12/1/2005,4.50%,0.493,0.487,0.02,24.9M,22.90%
Macao SAR,Asia,12/1/2006,0.80%,0.161,0.766,0.072,0.5M,100.00%
South Korea,Asia,12/1/2006,0.90%,0.186,0.718,0.097,48.4M,81.50%
Japan,Asia,12/1/2006,0.90%,0.137,0.659,0.204,127.8M,87.10%
Singapore,Asia,12/1/2006,1.00%,0.188,0.729,0.083,4.4M,100.00%
Hong Kong SAR,Asia,12/1/2006,1.00%,0.137,0.74,0.123,6.9M,100.00%
Thailand,Asia,12/1/2006,1.20%,0.218,0.703,0.079,65.9M,38.80%
China,Asia,12/1/2006,1.20%,0.198,0.724,0.078,"1,311.0M",43.90%
Georgia,Asia,12/1/2006,1.30%,0.179,0.674,0.147,4.4M,52.50%
Armenia,Asia,12/1/2006,1.40%,0.214,0.67,0.116,3.0M,64.20%
North Korea,Asia,12/1/2006,1.50%,0.243,0.679,0.077,24.0M,59.90%
Vietnam,Asia,12/1/2006,1.70%,0.263,0.672,0.066,83.3M,27.90%
Azerbaijan,Asia,12/1/2006,1.80%,0.251,0.685,0.064,8.5M,52.60%
Malaysia,Asia,12/1/2006,1.80%,0.297,0.659,0.045,26.3M,67.50%
Myanmar,Asia,12/1/2006,1.90%,0.277,0.674,0.05,50.5M,29.40%
Sri Lanka,Asia,12/1/2006,1.90%,0.253,0.675,0.072,19.9M,18.40%
Brunei,Asia,12/1/2006,1.90%,0.285,0.683,0.033,0.4M,73.90%
Kazakhstan,Asia,12/1/2006,2.00%,0.245,0.68,0.075,15.3M,54.50%
Mongolia,Asia,12/1/2006,2.10%,0.282,0.681,0.037,2.6M,63.50%
Uzbekistan,Asia,12/1/2006,2.10%,0.324,0.629,0.047,26.5M,36.50%
Indonesia,Asia,12/1/2006,2.10%,0.3,0.651,0.049,227.7M,46.70%
Maldives,Asia,12/1/2006,2.10%,0.332,0.621,0.047,0.3M,35.00%
Turkmenistan,Asia,12/1/2006,2.20%,0.319,0.636,0.045,4.8M,47.30%
Bhutan,Asia,12/1/2006,2.20%,0.329,0.629,0.041,0.7M,31.70%
India,Asia,12/1/2006,2.30%,0.318,0.634,0.048,"1,143.3M",29.60%
Kyrgyzstan,Asia,12/1/2006,2.30%,0.308,0.638,0.054,5.2M,35.30%
Bangladesh,Asia,12/1/2006,2.30%,0.338,0.619,0.044,144.9M,27.50%
Cambodia,Asia,12/1/2006,2.60%,0.351,0.604,0.045,13.6M,19.30%
Nepal,Asia,12/1/2006,2.70%,0.391,0.564,0.045,25.6M,15.50%
Philippines,Asia,12/1/2006,2.70%,0.367,0.598,0.035,87.4M,46.30%
Pakistan,Asia,12/1/2006,2.80%,0.376,0.583,0.042,160.9M,35.10%
Laos,Asia,12/1/2006,2.90%,0.396,0.566,0.038,5.9M,28.50%
Tajikistan,Asia,12/1/2006,3.00%,0.376,0.587,0.037,7.0M,26.50%
Timor-Leste,Asia,12/1/2006,3.80%,0.478,0.494,0.028,1.0M,26.90%
Afghanistan,Asia,12/1/2006,4.40%,0.493,0.487,0.02,25.6M,23.20%
Macao SAR,Asia,12/1/2007,0.80%,0.15,0.778,0.071,0.5M,100.00%
Japan,Asia,12/1/2007,0.90%,0.136,0.654,0.21,127.8M,88.00%
South Korea,Asia,12/1/2007,1.00%,0.18,0.72,0.1,48.6M,81.60%
Singapore,Asia,12/1/2007,1.00%,0.184,0.731,0.085,4.6M,100.00%
Hong Kong SAR,Asia,12/1/2007,1.00%,0.132,0.744,0.124,6.9M,100.00%
Thailand,Asia,12/1/2007,1.20%,0.212,0.707,0.082,66.1M,40.10%
China,Asia,12/1/2007,1.20%,0.192,0.729,0.079,"1,317.9M",45.20%
Georgia,Asia,12/1/2007,1.30%,0.176,0.678,0.146,4.4M,52.60%
Armenia,Asia,12/1/2007,1.40%,0.211,0.676,0.114,3.0M,64.10%
North Korea,Asia,12/1/2007,1.50%,0.239,0.681,0.08,24.1M,60.00%
Vietnam,Asia,12/1/2007,1.70%,0.254,0.68,0.066,84.2M,28.50%
Azerbaijan,Asia,12/1/2007,1.80%,0.243,0.693,0.063,8.6M,52.80%
Malaysia,Asia,12/1/2007,1.80%,0.292,0.663,0.045,26.8M,68.40%
Brunei,Asia,12/1/2007,1.80%,0.28,0.686,0.033,0.4M,74.30%
Myanmar,Asia,12/1/2007,1.90%,0.272,0.678,0.05,50.8M,29.90%
Sri Lanka,Asia,12/1/2007,1.90%,0.252,0.675,0.073,20.0M,18.40%
Kazakhstan,Asia,12/1/2007,2.10%,0.244,0.682,0.073,15.5M,54.30%
Indonesia,Asia,12/1/2007,2.10%,0.3,0.651,0.049,231.0M,47.50%
Turkmenistan,Asia,12/1/2007,2.20%,0.311,0.645,0.044,4.9M,47.60%
Mongolia,Asia,12/1/2007,2.20%,0.276,0.686,0.038,2.6M,64.60%
India,Asia,12/1/2007,2.20%,0.314,0.638,0.049,"1,159.1M",29.90%
Bhutan,Asia,12/1/2007,2.20%,0.32,0.638,0.042,0.7M,32.50%
Bangladesh,Asia,12/1/2007,2.20%,0.333,0.623,0.044,146.5M,28.20%
Maldives,Asia,12/1/2007,2.20%,0.322,0.63,0.048,0.3M,36.30%
Uzbekistan,Asia,12/1/2007,2.30%,0.317,0.637,0.046,26.9M,36.40%
Kyrgyzstan,Asia,12/1/2007,2.30%,0.304,0.644,0.052,5.3M,35.30%
Philippines,Asia,12/1/2007,2.60%,0.364,0.601,0.035,88.9M,46.10%
Nepal,Asia,12/1/2007,2.60%,0.387,0.566,0.046,26.0M,15.80%
Cambodia,Asia,12/1/2007,2.60%,0.341,0.612,0.046,13.7M,19.40%
Pakistan,Asia,12/1/2007,2.80%,0.37,0.588,0.042,163.9M,35.40%
Laos,Asia,12/1/2007,2.90%,0.389,0.574,0.037,6.0M,29.70%
Tajikistan,Asia,12/1/2007,3.10%,0.37,0.594,0.036,7.1M,26.50%
Timor-Leste,Asia,12/1/2007,3.70%,0.477,0.494,0.029,1.0M,27.60%
Afghanistan,Asia,12/1/2007,4.20%,0.492,0.487,0.021,26.3M,23.60%
Macao SAR,Asia,12/1/2008,0.90%,0.141,0.788,0.071,0.5M,100.00%
South Korea,Asia,12/1/2008,0.90%,0.174,0.722,0.104,48.9M,81.70%
Japan,Asia,12/1/2008,0.90%,0.135,0.649,0.216,127.7M,88.90%
Singapore,Asia,12/1/2008,1.00%,0.181,0.733,0.086,4.8M,100.00%
Hong Kong SAR,Asia,12/1/2008,1.10%,0.128,0.747,0.125,7.0M,100.00%
Thailand,Asia,12/1/2008,1.20%,0.205,0.711,0.084,66.2M,41.40%
China,Asia,12/1/2008,1.20%,0.187,0.732,0.081,"1,324.7M",46.50%
Georgia,Asia,12/1/2008,1.40%,0.174,0.682,0.145,4.4M,52.60%
Armenia,Asia,12/1/2008,1.40%,0.208,0.681,0.111,3.0M,64.00%
North Korea,Asia,12/1/2008,1.50%,0.235,0.682,0.083,24.2M,60.00%
Azerbaijan,Asia,12/1/2008,1.70%,0.237,0.701,0.062,8.8M,53.00%
Vietnam,Asia,12/1/2008,1.70%,0.247,0.688,0.066,85.1M,29.10%
Myanmar,Asia,12/1/2008,1.80%,0.268,0.681,0.05,51.2M,30.40%
Malaysia,Asia,12/1/2008,1.80%,0.287,0.667,0.046,27.3M,69.20%
Brunei,Asia,12/1/2008,1.80%,0.275,0.691,0.034,0.4M,74.70%
Sri Lanka,Asia,12/1/2008,1.90%,0.252,0.674,0.074,20.2M,18.30%
Bhutan,Asia,12/1/2008,2.10%,0.312,0.645,0.043,0.7M,33.20%
Indonesia,Asia,12/1/2008,2.10%,0.3,0.65,0.049,234.2M,48.30%
Turkmenistan,Asia,12/1/2008,2.20%,0.304,0.653,0.043,4.9M,47.80%
Mongolia,Asia,12/1/2008,2.20%,0.273,0.689,0.038,2.6M,65.60%
India,Asia,12/1/2008,2.20%,0.31,0.641,0.049,"1,174.7M",30.20%
Bangladesh,Asia,12/1/2008,2.20%,0.327,0.628,0.045,148.0M,29.00%
Maldives,Asia,12/1/2008,2.20%,0.313,0.637,0.049,0.3M,37.60%
Kazakhstan,Asia,12/1/2008,2.30%,0.245,0.684,0.071,15.7M,54.10%
Uzbekistan,Asia,12/1/2008,2.40%,0.31,0.645,0.046,27.3M,36.30%
Kyrgyzstan,Asia,12/1/2008,2.40%,0.302,0.649,0.049,5.3M,35.30%
Nepal,Asia,12/1/2008,2.50%,0.383,0.57,0.047,26.2M,16.20%
Philippines,Asia,12/1/2008,2.60%,0.36,0.604,0.036,90.4M,45.80%
Cambodia,Asia,12/1/2008,2.60%,0.332,0.62,0.048,13.9M,19.50%
Pakistan,Asia,12/1/2008,2.70%,0.365,0.593,0.043,167.0M,35.80%
Laos,Asia,12/1/2008,2.90%,0.381,0.581,0.037,6.1M,30.80%
Tajikistan,Asia,12/1/2008,3.10%,0.365,0.6,0.035,7.3M,26.50%
Timor-Leste,Asia,12/1/2008,3.70%,0.477,0.494,0.03,1.0M,28.20%
Afghanistan,Asia,12/1/2008,4.10%,0.492,0.487,0.021,27.0M,23.90%
Macao SAR,Asia,12/1/2009,0.90%,0.133,0.796,0.071,0.5M,100.00%
South Korea,Asia,12/1/2009,0.90%,0.168,0.725,0.107,49.2M,81.80%
Japan,Asia,12/1/2009,0.90%,0.134,0.643,0.223,127.6M,89.70%
Singapore,Asia,12/1/2009,1.00%,0.177,0.735,0.088,5.0M,100.00%
Thailand,Asia,12/1/2009,1.10%,0.199,0.715,0.086,66.3M,42.70%
China,Asia,12/1/2009,1.20%,0.184,0.734,0.082,"1,331.3M",47.90%
Hong Kong SAR,Asia,12/1/2009,1.20%,0.124,0.749,0.127,7.0M,100.00%
North Korea,Asia,12/1/2009,1.40%,0.231,0.684,0.085,24.4M,60.10%
Georgia,Asia,12/1/2009,1.40%,0.173,0.684,0.143,4.4M,52.70%
Armenia,Asia,12/1/2009,1.40%,0.206,0.686,0.108,3.0M,63.80%
Azerbaijan,Asia,12/1/2009,1.70%,0.231,0.708,0.061,8.9M,53.20%
Vietnam,Asia,12/1/2009,1.70%,0.24,0.694,0.065,86.0M,29.80%
Brunei,Asia,12/1/2009,1.70%,0.271,0.694,0.035,0.4M,75.10%
Myanmar,Asia,12/1/2009,1.80%,0.265,0.685,0.051,51.5M,30.90%
Malaysia,Asia,12/1/2009,1.80%,0.282,0.671,0.047,27.8M,70.10%
Sri Lanka,Asia,12/1/2009,1.90%,0.251,0.673,0.076,20.5M,18.30%
Indonesia,Asia,12/1/2009,2.00%,0.3,0.651,0.05,237.5M,49.10%
Bhutan,Asia,12/1/2009,2.10%,0.305,0.651,0.044,0.7M,34.00%
Bangladesh,Asia,12/1/2009,2.10%,0.322,0.632,0.046,149.5M,29.70%
Turkmenistan,Asia,12/1/2009,2.20%,0.297,0.661,0.042,5.0M,48.10%
India,Asia,12/1/2009,2.20%,0.306,0.644,0.05,"1,190.1M",30.60%
Kazakhstan,Asia,12/1/2009,2.20%,0.247,0.685,0.068,16.1M,53.90%
Maldives,Asia,12/1/2009,2.20%,0.306,0.644,0.05,0.3M,38.80%
Mongolia,Asia,12/1/2009,2.30%,0.271,0.691,0.038,2.7M,66.60%
Uzbekistan,Asia,12/1/2009,2.30%,0.303,0.652,0.045,27.8M,36.20%
